dataset_rows,workers,queue_size,workload,total_requests,repeats,success_mean,success_stddev,rejected_mean,rejected_stddev,error_mean,error_stddev,total_ms_mean,total_ms_stddev,avg_ms_mean,avg_ms_stddev,p95_ms_mean,p95_ms_stddev,max_ms_mean,max_ms_stddev
100000,1,512,mixed,2000,10,513.000,0.000,1487.000,0.000,0.000,0.000,224.519,18.195,171.073,17.400,215.894,17.743,220.439,18.061
100000,1,512,mixed,5000,10,513.000,0.000,4487.000,0.000,0.000,0.000,604.748,27.573,462.413,22.627,584.809,25.797,594.076,26.095
100000,1,512,mixed,10000,10,513.000,0.000,9487.000,0.000,0.000,0.000,1347.564,86.588,1030.456,78.880,1304.259,84.280,1322.334,84.494
100000,1,512,mixed,20000,10,513.000,0.000,15838.900,4.581,3648.100,4.581,13754.460,1492.216,10783.805,1199.966,13614.978,1487.807,13720.140,1490.125
100000,2,512,mixed,2000,10,514.000,0.000,1486.000,0.000,0.000,0.000,222.341,13.587,169.599,13.256,213.908,13.572,218.084,13.280
100000,2,512,mixed,5000,10,514.000,0.000,4486.000,0.000,0.000,0.000,578.734,41.035,449.321,35.773,559.144,39.828,568.462,39.758
100000,2,512,mixed,10000,10,514.000,0.000,9486.000,0.000,0.000,0.000,1348.699,38.162,1039.095,29.325,1305.078,37.213,1335.452,38.998
100000,2,512,mixed,20000,10,514.000,0.000,15843.800,1.687,3642.200,1.687,15304.304,236.540,12040.363,191.109,15161.193,239.179,15273.487,234.489
1000000,1,512,mixed,2000,10,513.000,0.000,1487.000,0.000,0.000,0.000,225.778,9.596,171.635,7.526,216.630,8.668,220.995,8.857
1000000,1,512,mixed,5000,10,513.000,0.000,4487.000,0.000,0.000,0.000,634.293,52.026,480.311,27.750,612.453,46.820,624.030,46.065
1000000,1,512,mixed,10000,10,513.000,0.000,9487.000,0.000,0.000,0.000,1359.195,15.133,1047.115,14.552,1315.667,15.583,1346.924,15.412
1000000,1,512,mixed,20000,10,513.000,0.000,15840.900,2.424,3646.100,2.424,13658.598,2399.588,10694.970,1969.706,13513.724,2408.194,13620.979,2398.573
1000000,2,512,mixed,2000,10,514.000,0.000,1486.000,0.000,0.000,0.000,231.787,8.872,176.689,6.132,222.609,7.596,227.743,8.824
1000000,2,512,mixed,5000,10,514.000,0.000,4486.000,0.000,0.000,0.000,618.373,20.095,474.426,14.943,594.300,18.825,605.650,19.235
1000000,2,512,mixed,10000,10,514.000,0.000,9486.000,0.000,0.000,0.000,1377.683,39.615,1064.526,32.516,1329.239,37.625,1364.598,39.552
1000000,2,512,mixed,20000,10,514.000,0.000,15836.400,4.993,3649.600,4.993,11989.550,1331.895,9358.142,1086.209,11850.995,1331.219,11958.065,1330.143
