repeat_index,dataset_rows,workers,queue_size,workload,total_requests,success_requests,rejected_requests,error_requests,total_ms,avg_ms,p95_ms,max_ms,error_breakdown_json
1,100000,1,512,mixed,2000,513,1487,0,216.198,160.353,207.597,211.700,{}
2,100000,1,512,mixed,2000,513,1487,0,215.140,166.055,206.865,210.759,{}
3,100000,1,512,mixed,2000,513,1487,0,252.182,199.047,244.130,248.005,{}
4,100000,1,512,mixed,2000,513,1487,0,213.789,158.763,206.159,209.912,{}
5,100000,1,512,mixed,2000,513,1487,0,263.456,207.625,253.072,258.964,{}
6,100000,1,512,mixed,2000,513,1487,0,207.124,157.995,199.368,203.153,{}
7,100000,1,512,mixed,2000,513,1487,0,220.768,165.521,210.829,217.271,{}
8,100000,1,512,mixed,2000,513,1487,0,221.533,164.395,213.488,217.121,{}
9,100000,1,512,mixed,2000,513,1487,0,218.482,167.161,209.470,214.597,{}
10,100000,1,512,mixed,2000,513,1487,0,216.520,163.812,207.964,212.906,{}
1,100000,2,512,mixed,2000,514,1486,0,215.228,163.413,207.437,211.040,{}
2,100000,2,512,mixed,2000,514,1486,0,238.909,191.051,231.406,234.815,{}
3,100000,2,512,mixed,2000,514,1486,0,225.933,170.300,218.313,222.286,{}
4,100000,2,512,mixed,2000,514,1486,0,226.813,171.561,216.612,222.529,{}
5,100000,2,512,mixed,2000,514,1486,0,205.154,156.372,197.269,201.055,{}
6,100000,2,512,mixed,2000,514,1486,0,207.566,154.192,198.307,204.096,{}
7,100000,2,512,mixed,2000,514,1486,0,211.857,159.561,202.717,206.438,{}
8,100000,2,512,mixed,2000,514,1486,0,216.598,165.261,208.821,212.774,{}
9,100000,2,512,mixed,2000,514,1486,0,228.280,171.365,220.436,224.786,{}
10,100000,2,512,mixed,2000,514,1486,0,247.069,192.918,237.762,241.019,{}
1,100000,1,512,mixed,5000,513,4487,0,599.243,461.317,582.577,592.466,{}
2,100000,1,512,mixed,5000,513,4487,0,652.760,490.599,628.275,638.636,{}
3,100000,1,512,mixed,5000,513,4487,0,610.732,461.567,593.917,603.784,{}
4,100000,1,512,mixed,5000,513,4487,0,612.576,480.190,589.253,597.672,{}
5,100000,1,512,mixed,5000,513,4487,0,573.061,433.917,556.825,566.454,{}
6,100000,1,512,mixed,5000,513,4487,0,612.083,467.916,589.923,598.603,{}
7,100000,1,512,mixed,5000,513,4487,0,602.732,463.933,585.122,593.606,{}
8,100000,1,512,mixed,5000,513,4487,0,560.862,425.370,538.528,547.281,{}
9,100000,1,512,mixed,5000,513,4487,0,585.979,445.432,570.126,579.218,{}
10,100000,1,512,mixed,5000,513,4487,0,637.454,493.884,613.539,623.044,{}
1,100000,2,512,mixed,5000,514,4486,0,569.233,442.409,554.104,562.181,{}
2,100000,2,512,mixed,5000,514,4486,0,587.146,450.291,564.857,573.913,{}
3,100000,2,512,mixed,5000,514,4486,0,619.973,486.398,604.066,613.393,{}
4,100000,2,512,mixed,5000,514,4486,0,656.598,521.356,634.922,643.177,{}
5,100000,2,512,mixed,5000,514,4486,0,508.551,395.075,493.245,501.387,{}
6,100000,2,512,mixed,5000,514,4486,0,588.857,458.048,563.798,575.167,{}
7,100000,2,512,mixed,5000,514,4486,0,540.104,415.756,522.094,532.327,{}
8,100000,2,512,mixed,5000,514,4486,0,590.184,456.627,565.242,575.599,{}
