dataset_rows,workers,queue_size,workload,total_requests,repeats,success_mean,success_stddev,rejected_mean,rejected_stddev,error_mean,error_stddev,total_ms_mean,total_ms_stddev,avg_ms_mean,avg_ms_stddev,p95_ms_mean,p95_ms_stddev,max_ms_mean,max_ms_stddev
10000,1,32,mixed,512,10,507.400,7.367,0.100,0.316,4.500,7.184,106.678,7.738,2.920,0.435,5.478,1.475,8.458,2.423
10000,1,32,mixed,1024,10,941.800,174.586,4.900,10.354,77.300,164.430,203.448,5.654,5.400,6.057,13.727,19.897,21.047,25.764
10000,1,64,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,98.029,6.798,2.513,0.293,4.497,2.269,6.729,3.226
10000,1,64,mixed,1024,10,994.000,82.690,3.700,11.016,26.300,71.719,204.563,10.214,4.285,4.694,12.260,19.492,18.186,21.403
10000,1,128,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,97.853,8.268,3.245,1.746,6.212,5.131,8.792,5.897
10000,1,128,mixed,1024,10,950.400,131.474,5.900,10.311,67.700,121.268,204.535,11.768,9.213,11.275,25.733,34.720,34.571,39.540
10000,1,256,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,98.233,10.195,3.330,1.933,7.220,6.813,10.149,7.979
10000,1,256,mixed,1024,10,1019.000,15.811,1.100,3.479,3.900,12.333,210.306,14.718,4.884,5.851,14.152,22.721,22.303,23.378
10000,1,512,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,98.383,8.950,2.476,0.255,4.153,1.149,7.260,3.414
10000,1,512,mixed,1024,10,1024.000,0.000,0.000,0.000,0.000,0.000,202.732,8.508,2.551,0.109,4.236,0.499,9.314,2.895
10000,2,32,mixed,512,10,507.000,15.811,1.300,4.111,3.700,11.700,102.414,6.596,2.681,1.119,5.853,6.420,11.404,12.118
10000,2,32,mixed,1024,10,868.400,225.697,9.500,14.254,146.100,212.582,208.143,13.263,10.226,12.251,28.898,35.835,38.863,42.434
10000,2,64,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,102.776,9.927,2.464,0.520,5.599,3.898,8.636,4.502
10000,2,64,mixed,1024,10,1009.600,33.692,0.400,0.843,14.000,32.934,216.623,12.379,3.330,2.102,10.087,13.319,23.146,17.105
10000,2,128,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,100.988,8.018,2.276,0.093,3.750,0.638,6.243,2.585
10000,2,128,mixed,1024,10,1008.000,50.596,2.000,6.325,14.000,44.272,221.925,19.257,4.357,4.476,14.425,21.808,21.284,22.752
10000,2,256,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,103.583,7.271,2.656,0.704,5.831,4.214,9.468,4.070
10000,2,256,mixed,1024,10,1024.000,0.000,0.000,0.000,0.000,0.000,204.526,19.985,2.338,0.325,3.890,0.980,9.877,7.854
10000,2,512,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,102.893,6.081,2.344,0.143,4.023,0.550,6.942,1.703
10000,2,512,mixed,1024,10,1024.000,0.000,0.000,0.000,0.000,0.000,216.416,9.590,2.394,0.126,3.974,0.310,9.032,2.515
100000,1,32,mixed,512,10,470.300,131.867,4.700,14.863,37.000,117.004,104.430,8.615,7.796,16.136,12.831,26.514,16.583,28.264
100000,1,32,mixed,1024,10,940.400,141.490,5.400,9.891,78.200,132.425,207.061,12.980,5.209,4.438,15.330,18.612,22.092,22.462
100000,1,64,mixed,512,10,499.700,38.896,1.000,3.162,11.300,35.734,105.119,11.529,4.328,5.345,8.971,15.244,11.493,15.919
100000,1,64,mixed,1024,10,995.400,90.441,1.600,5.060,27.000,85.381,207.397,11.057,3.982,4.479,8.912,15.152,14.557,18.644
100000,1,128,mixed,512,10,474.300,88.692,4.500,10.700,33.200,77.994,109.472,7.732,9.661,15.488,18.409,28.970,22.342,30.005
100000,1,128,mixed,1024,10,1024.000,0.000,0.000,0.000,0.000,0.000,223.491,44.471,3.053,0.933,7.306,7.022,13.725,9.159
100000,1,256,mixed,512,10,504.500,15.953,1.300,2.983,6.200,13.105,104.556,15.494,8.705,12.890,16.374,25.640,20.008,26.696
100000,1,256,mixed,1024,10,1019.800,13.282,0.900,2.846,3.300,10.436,214.082,16.229,5.837,6.438,17.500,19.818,27.735,22.061
100000,1,512,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,101.681,7.066,2.591,0.165,4.022,0.476,6.528,1.413
100000,1,512,mixed,1024,10,1024.000,0.000,0.000,0.000,0.000,0.000,204.119,18.767,4.647,6.347,10.358,18.442,15.904,20.624
100000,2,32,mixed,512,10,496.600,40.681,1.700,5.034,13.700,35.696,109.947,13.098,4.591,5.794,11.307,16.181,14.404,18.797
100000,2,32,mixed,1024,10,957.100,105.009,6.000,11.146,60.900,95.414,211.081,12.572,4.883,4.082,15.662,18.745,24.019,24.138
100000,2,64,mixed,512,10,474.900,117.321,2.300,7.273,34.800,110.047,105.778,13.615,8.126,18.214,12.830,27.306,16.545,28.564
