repeat_index,dataset_rows,workers,queue_size,workload,total_requests,success_requests,rejected_requests,error_requests,total_ms,avg_ms,p95_ms,max_ms
1,10000,1,32,mixed,512,495,0,17,106.417,3.296,6.676,10.138
2,10000,1,32,mixed,512,511,0,1,109.986,3.541,6.194,8.218
3,10000,1,32,mixed,512,501,0,11,101.644,2.738,5.058,8.904
4,10000,1,32,mixed,512,512,0,0,116.457,2.787,4.539,6.751
5,10000,1,32,mixed,512,495,1,16,110.216,3.662,8.610,12.842
6,10000,1,32,mixed,512,512,0,0,107.082,2.649,5.072,6.854
7,10000,1,32,mixed,512,512,0,0,113.461,2.908,6.031,10.773
8,10000,1,32,mixed,512,512,0,0,112.834,2.738,5.163,9.331
9,10000,1,32,mixed,512,512,0,0,96.073,2.524,3.791,5.336
10,10000,1,32,mixed,512,512,0,0,92.612,2.361,3.645,5.430
1,10000,1,64,mixed,512,512,0,0,92.032,2.322,3.507,4.116
2,10000,1,64,mixed,512,512,0,0,102.861,2.622,3.812,4.837
3,10000,1,64,mixed,512,512,0,0,96.020,2.342,3.515,4.909
4,10000,1,64,mixed,512,512,0,0,89.946,2.157,3.188,4.380
5,10000,1,64,mixed,512,512,0,0,93.296,2.379,3.717,6.827
6,10000,1,64,mixed,512,512,0,0,92.990,2.331,3.264,4.635
7,10000,1,64,mixed,512,512,0,0,97.259,2.632,4.542,6.745
8,10000,1,64,mixed,512,512,0,0,112.419,3.213,10.769,14.821
9,10000,1,64,mixed,512,512,0,0,103.205,2.622,4.905,8.805
10,10000,1,64,mixed,512,512,0,0,100.264,2.509,3.749,7.216
1,10000,1,128,mixed,512,512,0,0,95.753,2.469,3.667,4.851
2,10000,1,128,mixed,512,512,0,0,83.668,2.128,3.284,3.967
3,10000,1,128,mixed,512,512,0,0,101.634,2.401,3.739,6.235
4,10000,1,128,mixed,512,512,0,0,112.228,6.192,16.417,20.873
5,10000,1,128,mixed,512,512,0,0,104.878,2.822,5.143,7.808
6,10000,1,128,mixed,512,512,0,0,99.867,2.458,3.919,8.059
7,10000,1,128,mixed,512,512,0,0,103.913,2.565,3.862,8.909
8,10000,1,128,mixed,512,512,0,0,93.214,2.301,3.344,4.221
9,10000,1,128,mixed,512,512,0,0,90.965,6.859,15.352,18.000
10,10000,1,128,mixed,512,512,0,0,92.411,2.257,3.397,4.996
1,10000,1,256,mixed,512,512,0,0,108.665,2.675,5.239,10.452
2,10000,1,256,mixed,512,512,0,0,106.708,5.814,17.837,22.600
3,10000,1,256,mixed,512,512,0,0,119.510,2.931,6.433,13.166
4,10000,1,256,mixed,512,512,0,0,85.081,2.080,3.104,3.916
5,10000,1,256,mixed,512,512,0,0,93.284,2.485,3.769,4.573
6,10000,1,256,mixed,512,512,0,0,92.002,2.264,3.254,4.410
7,10000,1,256,mixed,512,512,0,0,92.912,2.261,3.437,4.671
8,10000,1,256,mixed,512,512,0,0,94.271,7.886,21.904,25.626
9,10000,1,256,mixed,512,512,0,0,94.674,2.445,3.584,7.165
10,10000,1,256,mixed,512,512,0,0,95.221,2.456,3.645,4.912
1,10000,1,512,mixed,512,512,0,0,90.884,2.364,3.375,5.102
2,10000,1,512,mixed,512,512,0,0,96.834,2.490,3.622,4.945
3,10000,1,512,mixed,512,512,0,0,119.237,3.011,6.427,13.775
4,10000,1,512,mixed,512,512,0,0,105.354,2.505,4.495,8.436
5,10000,1,512,mixed,512,512,0,0,95.161,2.351,3.586,6.396
6,10000,1,512,mixed,512,512,0,0,92.883,2.262,3.628,6.078
7,10000,1,512,mixed,512,512,0,0,92.112,2.151,3.085,4.446
